Posx,Posy,width,height,PosX Kp1,PosX Kp2,PosX Kp3,PosX Kp4,PosX Kp5,PosX Kp6,PosX Kp7,PosX Kp8,PosX Kp9,PosX Kp10,PosX Kp11,PosX Kp12,PosX Kp13,PosX Kp14,PosX Kp15,PosX Kp16,PosX Kp17,PosY Kp1,PosY Kp2,PosY Kp3,PosY Kp4,PosY Kp5,PosY Kp6,PosY Kp7,PosY Kp8,PosY Kp9,PosY Kp10,PosY Kp11,PosY Kp12,PosY Kp13,PosY Kp14,PosY Kp15,PosY Kp16,PosY Kp17,Conf Kp1,Conf Kp2,Conf Kp3,Conf Kp4,Conf Kp5,Conf Kp6,Conf Kp7,Conf Kp8,Conf Kp9,Conf Kp10,Conf Kp11,Conf Kp12,Conf Kp13,Conf Kp14,Conf Kp15,Conf Kp16,Conf Kp17,Label
1315.8173828125,606.1930541992188,166.558349609375,233.74069213867188,0.0,0.0,1353.267822265625,0.0,1345.9874267578125,1314.7802734375,1324.4351806640625,1327.20263671875,1334.7254638671875,0.0,1374.5400390625,1254.941650390625,1259.01611328125,1278.9017333984375,1283.259765625,1257.0716552734375,1258.545654296875,0.0,0.0,522.61962890625,0.0,514.6229858398438,521.2952880859375,525.587646484375,559.6801147460938,565.6845092773438,0.0,560.4029541015625,571.4503173828125,573.9803466796875,634.7713623046875,637.2061767578125,694.6051025390625,703.2540893554688,0.49438604712486267,0.12278923392295837,0.5882810950279236,0.11494513601064682,0.8435335755348206,0.8989627361297607,0.9869548678398132,0.5259173512458801,0.9712790846824646,0.497141569852829,0.9347099661827087,0.9713567495346069,0.9900259971618652,0.9585630893707275,0.9881673455238342,0.9204433560371399,0.9669549465179443,0
1332.49755859375,609.7671508789062,161.6214599609375,224.04879760742188,1375.876708984375,0.0,1375.120361328125,0.0,1366.424072265625,1336.9984130859375,1345.1474609375,0.0,1348.8717041015625,0.0,1385.5189208984375,1277.83056640625,1280.8095703125,1302.88232421875,1305.880615234375,1285.1507568359375,1283.469482421875,532.122802734375,0.0,527.02392578125,0.0,521.7330932617188,529.0916748046875,534.108642578125,0.0,575.8355712890625,0.0,575.6182861328125,574.5185546875,577.3427734375,634.3707885742188,636.5750732421875,692.4844970703125,699.8750610351562,0.5152971744537354,0.11142479628324509,0.6109681725502014,0.08523622900247574,0.8530000448226929,0.8787645101547241,0.9879531860351562,0.4417653977870941,0.9726587533950806,0.4334790110588074,0.9361936450004578,0.9668243527412415,0.9899235367774963,0.9566015005111694,0.9891887903213501,0.9224269390106201,0.9710337519645691,1
1346.509033203125,613.332763671875,151.6944580078125,217.24978637695312,0.0,0.0,1393.3857421875,0.0,1387.8013916015625,1355.7001953125,1365.51806640625,0.0,1360.123779296875,0.0,1396.9073486328125,1296.6962890625,1300.6766357421875,1324.474365234375,1328.634765625,1309.45556640625,1309.501220703125,0.0,0.0,536.2354736328125,0.0,528.839599609375,530.9583129882812,538.9227294921875,0.0,586.1043701171875,0.0,588.2276611328125,573.2254638671875,577.5884399414062,633.9530029296875,637.326171875,694.4896240234375,703.3865966796875,0.4471927583217621,0.08583944290876389,0.5217590928077698,0.0855090543627739,0.8284317851066589,0.8867433667182922,0.9869562387466431,0.47586554288864136,0.971215546131134,0.46072033047676086,0.9351951479911804,0.9675196409225464,0.9895755052566528,0.9594538807868958,0.9895350337028503,0.9265760779380798,0.9717507362365723,0
1365.637939453125,617.2562866210938,149.3807373046875,210.88589477539062,1414.7784423828125,0.0,1414.86181640625,0.0,1408.9443359375,1379.94970703125,1387.1387939453125,1380.0714111328125,1385.05615234375,1410.0435791015625,1414.388671875,1320.13916015625,1322.2559814453125,1346.7879638671875,1350.390625,1331.7667236328125,1332.011474609375,546.9614868164062,0.0,541.73681640625,0.0,534.8672485351562,541.94140625,544.0673828125,586.633544921875,587.2055053710938,601.1827392578125,600.359130859375,580.0210571289062,581.4927978515625,636.5404663085938,637.5975952148438,697.4312744140625,703.8167724609375,0.6164489984512329,0.177903950214386,0.6553970575332642,0.1156349927186966,0.8369474411010742,0.929536759853363,0.9839200377464294,0.716884970664978,0.9682025909423828,0.7357616424560547,0.948409378528595,0.9730058312416077,0.9869304895401001,0.9652324318885803,0.9855440258979797,0.9284399151802063,0.9607330560684204,0
1384.6715087890625,620.9848022460938,147.253173828125,204.008544921875,1435.9713134765625,0.0,1436.1058349609375,0.0,1429.294677734375,1401.713623046875,1406.861083984375,1393.873046875,1392.9288330078125,1425.1204833984375,1428.571533203125,1336.97607421875,1337.2257080078125,1371.98974609375,1374.0845947265625,1357.490966796875,1357.939697265625,553.457275390625,0.0,547.6506958007812,0.0,542.5556030273438,550.698974609375,551.6853637695312,598.190185546875,599.3283081054688,614.0203247070312,616.4803466796875,582.7587890625,584.0476684570312,633.7277221679688,637.5029907226562,694.6392822265625,704.0447387695312,0.6565810441970825,0.13869081437587738,0.678612232208252,0.0684722512960434,0.8468266725540161,0.9331185817718506,0.9802868962287903,0.7230719327926636,0.9630255103111267,0.7590396404266357,0.9541126489639282,0.9629347324371338,0.9806451201438904,0.9611420035362244,0.9838597774505615,0.9289884567260742,0.9600827693939209,2
1401.2811279296875,623.5595703125,140.46435546875,197.63018798828125,1455.01171875,0.0,1454.0987548828125,0.0,1446.311767578125,1422.849853515625,1424.258544921875,1414.0106201171875,1413.587646484375,1433.59521484375,1430.244873046875,1360.369873046875,1359.9666748046875,1392.182861328125,1394.79345703125,1377.4888916015625,1380.953369140625,559.9099731445312,0.0,553.0552978515625,0.0,545.935546875,552.7599487304688,556.5780029296875,594.7191162109375,601.45654296875,620.0751342773438,627.3744506835938,581.1701049804688,582.7228393554688,635.1874389648438,638.63427734375,691.654296875,701.5629272460938,0.7970988750457764,0.1573125720024109,0.8856685757637024,0.022817229852080345,0.9563543796539307,0.9500648379325867,0.9895031452178955,0.5521926879882812,0.9784195423126221,0.6083113551139832,0.9592341184616089,0.9818809032440186,0.9917083382606506,0.9795017838478088,0.9934110045433044,0.958885133266449,0.9823024868965149,0
1420.828369140625,624.6781005859375,139.4149169921875,193.513916015625,1473.929931640625,0.0,1473.9039306640625,0.0,1466.031982421875,1442.210205078125,1441.895263671875,1429.23876953125,1431.379638671875,1442.377197265625,1443.5135498046875,1378.4962158203125,1375.9296875,1414.437744140625,1415.3682861328125,1404.67529296875,1407.833251953125,565.9933471679688,0.0,559.0701904296875,0.0,549.1310424804688,554.5454711914062,554.7132568359375,595.464111328125,595.0518798828125,629.6068115234375,632.643310546875,583.4508056640625,583.4891967773438,636.5094604492188,637.908447265625,691.9134521484375,699.9232788085938,0.8094123005867004,0.1539236307144165,0.8962902426719666,0.020247453823685646,0.9610557556152344,0.9452974200248718,0.9891208410263062,0.5528168678283691,0.9810678362846375,0.630597710609436,0.9667444825172424,0.9810619950294495,0.9916853904724121,0.9784187078475952,0.9934083223342896,0.9545159935951233,0.9809890389442444,0
1441.29541015625,625.66650390625,139.1131591796875,190.88427734375,1496.327880859375,0.0,1496.81640625,0.0,1490.125,1460.3140869140625,1466.7236328125,0.0,1443.93505859375,0.0,1443.3770751953125,1398.3870849609375,1400.628173828125,1437.24365234375,1439.2509765625,1428.556884765625,1429.363525390625,566.2271118164062,0.0,560.6139526367188,0.0,551.5059204101562,553.03076171875,556.7964477539062,0.0,592.3922729492188,0.0,631.0108642578125,581.7852783203125,584.3442993164062,628.0196533203125,632.8609619140625,685.1849365234375,696.7384033203125,0.7092193365097046,0.21183902025222778,0.7929261326789856,0.08586391061544418,0.8869541883468628,0.8525108695030212,0.9848579168319702,0.39074793457984924,0.9651906490325928,0.410399466753006,0.9334508180618286,0.9395167827606201,0.9818731546401978,0.9388784170150757,0.9855438470840454,0.9199939370155334,0.9710853099822998,3
1461.5301513671875,627.635986328125,137.738525390625,190.82135009765625,1516.47265625,0.0,1517.163330078125,0.0,1510.52001953125,1476.381591796875,1489.3646240234375,0.0,1463.4046630859375,0.0,1454.4720458984375,1415.181884765625,1422.7098388671875,1448.4840087890625,1461.620361328125,1432.0933837890625,1452.0438232421875,566.501708984375,0.0,561.017822265625,0.0,552.5852661132812,550.861083984375,558.9842529296875,0.0,591.2989501953125,0.0,621.0601196289062,579.7144165039062,586.7826538085938,618.653076171875,638.7631225585938,659.1416015625,703.0006713867188,0.6397219300270081,0.16203837096691132,0.7324548363685608,0.09281361103057861,0.8836768269538879,0.8478888869285583,0.9859010577201843,0.34689822793006897,0.9662002921104431,0.34770891070365906,0.9327937960624695,0.9368725419044495,0.9828643798828125,0.9398684501647949,0.9879477620124817,0.9331104755401611,0.977992594242096,0
1482.2701416015625,627.923583984375,137.308837890625,190.285400390625,1535.087646484375,0.0,1536.188232421875,0.0,1530.3553466796875,1496.9844970703125,1508.5927734375,0.0,1480.18408203125,0.0,1470.5484619140625,1434.326416015625,1441.7359619140625,1464.8978271484375,1481.409912109375,1446.05029296875,1469.081787109375,568.9912109375,0.0,563.28759765625,0.0,552.6107177734375,551.9500732421875,555.763671875,0.0,586.12744140625,0.0,620.8883666992188,580.9180908203125,586.43798828125,615.8258666992188,635.1292724609375,653.8131713867188,701.71630859375,0.6321737766265869,0.1769893616437912,0.7213821411132812,0.09640335291624069,0.8588591814041138,0.8094075322151184,0.9834873080253601,0.30177757143974304,0.9636455774307251,0.3052653968334198,0.9251198172569275,0.919548511505127,0.9789785742759705,0.91440749168396,0.9834574460983276,0.9056521058082581,0.9698883295059204,0
